GEO_ID,NAME,housing_units,vacant_units,owner_units,renter_units
1400000US36005016600,"Census Tract 166, Bronx County, New York",834,61,548,225
1400000US36005016700,"Census Tract 167, Bronx County, New York",1066,33,57,976
1400000US36005016900,"Census Tract 169, Bronx County, New York",515,22,98,395
1400000US36005017100,"Census Tract 171, Bronx County, New York",0,0,0,0
1400000US36005017300,"Census Tract 173, Bronx County, New York",2136,26,144,1966
1400000US36005017500,"Census Tract 175, Bronx County, New York",2776,33,0,2743
1400000US36005017701,"Census Tract 177.01, Bronx County, New York",1426,218,97,1111
1400000US36005017702,"Census Tract 177.02, Bronx County, New York",1868,150,241,1477
1400000US36005017901,"Census Tract 179.01, Bronx County, New York",1774,101,181,1492
1400000US36005017902,"Census Tract 179.02, Bronx County, New York",1182,22,0,1160
1400000US36005018101,"Census Tract 181.01, Bronx County, New York",1096,51,78,967
1400000US36005018102,"Census Tract 181.02, Bronx County, New York",1719,80,31,1608
1400000US36005018301,"Census Tract 183.01, Bronx County, New York",2054,59,348,1647
1400000US36005018302,"Census Tract 183.02, Bronx County, New York",1325,46,71,1208
1400000US36005018400,"Census Tract 184, Bronx County, New York",1625,71,691,863
1400000US36005018500,"Census Tract 185, Bronx County, New York",3048,177,58,2813
1400000US36005018900,"Census Tract 189, Bronx County, New York",2975,77,190,2708
1400000US36005019300,"Census Tract 193, Bronx County, New York",2318,159,0,2159
1400000US36005019400,"Census Tract 194, Bronx County, New York",793,60,230,503
1400000US36005019500,"Census Tract 195, Bronx County, New York",2744,58,132,2554
1400000US36005019700,"Census Tract 197, Bronx County, New York",2272,22,16,2234
1400000US36005019900,"Census Tract 199, Bronx County, New York",2927,53,99,2775
1400000US36005020000,"Census Tract 200, Bronx County, New York",1580,152,151,1277
1400000US36005020100,"Census Tract 201, Bronx County, New York",1391,95,9,1287
1400000US36005020200,"Census Tract 202, Bronx County, New York",896,72,107,717
1400000US36005020400,"Census Tract 204, Bronx County, New York",1099,56,252,791
1400000US36005020501,"Census Tract 205.01, Bronx County, New York",2908,86,51,2771
1400000US36005020502,"Census Tract 205.02, Bronx County, New York",968,58,95,815
1400000US36005020601,"Census Tract 206.01, Bronx County, New York",901,74,242,585
1400000US36005020900,"Census Tract 209, Bronx County, New York",1792,83,6,1703
